Date-time,px (m),py (m),pz (m),vx (m/s),vy (m/s),vz (m/s)
Thursday January 09 2025 20:46:09,-50534046292.38498,143615659006.65076,-162900536.09312236,-32246.559308908094,1651.0424334257937,-391.84706600828565
Thursday January 09 2025 21:09:52,-50584309616.282524,143618226091.04727,-163511334.31972152,-32243.668954894056,1642.64909732228,-391.8360239224225
Thursday January 09 2025 21:35:18,-50630190275.62179,143620558120.30716,-164068907.32293287,-32241.028777224627,1634.9895308400073,-391.8259163586438
Thursday January 09 2025 22:02:04,-50679380445.871284,143623046471.39532,-164666734.49315405,-32238.196200139948,1626.7794921029881,-391.81504973578177
Thursday January 09 2025 22:25:34,-50731169801.009,143625653005.7382,-165296189.40538555,-32235.211765564633,1618.137914614693,-391.80357542732764
Thursday January 09 2025 22:50:19,-50776626620.70865,143627929585.4212,-165848710.644385,-32232.59040594165,1610.5549079063783,-391.7934758363088
Thursday January 09 2025 23:16:51,-50824482559.84873,143630314963.8085,-166430426.0031256,-32229.828832090476,1602.5736277939209,-391.7828146323387
Thursday January 09 2025 23:45:57,-50875794300.71067,143632859659.3771,-167054186.32251817,-32226.8657147861,1594.0182116189023,-391.7713510074764
Friday January 10 2025 00:13:33,-50932046943.60579,143635634006.11246,-167738054.59573328,-32223.61475038692,1584.6416094916246,-391.75874484572705
Friday January 10 2025 00:39:19,-50985412596.39152,143638251098.33704,-168386868.90655017,-32220.528193688315,1575.7487748811184,-391.7467482764641
Friday January 10 2025 01:03:37,-51035223749.683464,143640680812.7109,-168992506.11431852,-32217.6450812617,1567.4504944072191,-391.7355179345424
Friday January 10 2025 01:25:54,-51082209765.49354,143642961162.43875,-169563827.17427963,-32214.923597049692,1559.6248433742653,-391.72489551150557
Friday January 10 2025 01:46:30,-51125274496.29489,143645041347.61023,-170087496.60059485,-32212.427624783148,1552.453977871639,-391.7151348546598
Friday January 10 2025 02:05:19,-51165090862.70383,143646956239.57446,-170571690.23164207,-32210.118550949195,1545.825442683314,-391.70608939570224
Friday January 10 2025 02:24:20,-51201436528.14423,143648697181.57022,-171013698.35961944,-32208.009603165272,1539.7759037357737,-391.6978147609124
Friday January 10 2025 02:42:22,-51238182651.18856,143650450481.72556,-171460596.47450432,-32205.876303018318,1533.6608769477762,-391.6894318393965
Friday January 10 2025 03:01:37,-51273044874.218956,143652107551.77304,-171884601.54128265,-32203.851336088384,1527.860439064098,-391.6814627895931
Friday January 10 2025 03:22:10,-51310243543.16694,143653868868.4471,-172337043.06768417,-32201.68954422165,1521.672422712804,-391.67294258778173
Friday January 10 2025 03:41:10,-51349932118.79244,143655740328.4577,-172819791.57231268,-32199.38178570023,1515.0715335138725,-391.6638326567257
Friday January 10 2025 03:59:05,-51386626710.06312,143657463492.44012,-173266143.8019005,-32197.246954776136,1508.9698113303227,-391.6553921143404
Friday January 10 2025 04:20:08,-51421241627.39131,143659082726.87,-173687217.23019934,-32195.232092396993,1503.2149764652563,-391.6474142391425
Friday January 10 2025 04:43:13,-51461910528.46395,143660977382.48666,-174181957.0980699,-32192.86357125768,1496.4549765519532,-391.6380216018922
Friday January 10 2025 05:02:46,-51506496374.24763,143663044865.8553,-174724375.04687202,-32190.26535597078,1489.0455491840783,-391.6277001687952
Friday January 10 2025 05:21:19,-51544249275.19111,143664787606.94962,-175183688.50155655,-32188.06403953434,1482.772991737226,-391.6189407813841
Friday January 10 2025 05:41:39,-51580066585.83569,143666434307.51935,-175619472.50589404,-32185.974493860933,1476.823170595429,-391.61061375036013
Friday January 10 2025 07:24:06,-51619336802.301636,143668232269.47186,-176097289.37572452,-32183.682289179967,1470.3010454485297,-391.6014652440128
Friday January 10 2025 08:08:06,-51817141077.74104,143677169581.74237,-178504402.95962423,-32172.11706064917,1437.4693884448545,-391.5550866875439
Friday January 10 2025 08:43:40,-51902060147.32688,143680945518.28574,-179537975.38202253,-32167.14209765079,1423.384875251376,-391.53502383115574
Friday January 10 2025 09:22:41,-51970723488.62845,143683971885.9178,-180373773.18533835,-32163.115124743337,1412.0010708628088,-391.5187347779002
Friday January 10 2025 09:57:26,-52046003275.86753,143687262387.1798,-181290189.31375492,-32158.695646205633,1399.5250046678223,-391.5008075605994
Friday January 10 2025 10:29:52,-52113040824.424194,143690168418.02344,-182106339.4856047,-32154.75612073117,1388.4190463308983,-391.4847828547336
Friday January 10 2025 11:00:50,-52175612839.53709,143692860302.86557,-182868183.98954743,-32151.07568088659,1378.0563902434203,-391.46977436540647
Friday January 10 2025 11:28:00,-52235335070.68354,143695411067.04007,-183595385.09049612,-32147.55986124568,1368.1688495639257,-391.4554033168227
Friday January 10 2025 12:02:13,-52287753949.24407,143697634996.5453,-184233701.26326236,-32144.47157196021,1359.4929841321584,-391.44275259694973
Friday January 10 2025 12:34:53,-52353745410.71541,143700414946.80164,-185037351.6135634,-32140.580438307647,1348.574093026598,-391.4267770108061
Friday January 10 2025 13:03:33,-52416729409.1942,143703047611.7735,-185804436.9354908,-32136.863304947932,1338.1563238340061,-391.41147829520827
Friday January 10 2025 13:29:05,-52472010850.78705,143705341745.99054,-186477760.825482,-32133.598074074507,1329.0154078377664,-391.3980093418964
Friday January 10 2025 13:53:19,-52521241301.73215,143707371728.65796,-187077422.1807937,-32130.688140615257,1320.877259137964,-391.3859822842244
Friday January 10 2025 14:19:18,-52567945624.89458,143709286193.28506,-187646346.69483778,-32127.92568792956,1313.158631978821,-391.3745441720941
Friday January 10 2025 14:43:26,-52618022570.31213,143711326624.37024,-188256390.37260514,-32124.96176905186,1304.8847176599845,-391.3622496101145
Friday January 10 2025 15:04:52,-52664536779.43594,143713210504.39072,-188823065.59529322,-32122.20688120117,1297.201391854882,-391.35080150622827
Friday January 10 2025 15:23:50,-52705833498.92484,143714873882.32645,-189326203.8040372,-32119.759526077163,1290.381467806767,-391.34061474960305
Friday January 10 2025 15:43:00,-52742388911.67248,143716339076.71884,-189771597.40240058,-32117.591990663368,1284.345771948025,-391.3315796680897
Friday January 10 2025 16:01:19,-52779347017.60784,143717813529.02283,-190221917.5431649,-32115.399468000433,1278.2447589202545,-391.32242799899035
Friday January 10 2025 16:20:51,-52814623278.770226,143719214429.05322,-190651763.91154543,-32113.305679601293,1272.4224823025916,-391.3136768006697
