Date-time,px (m),py (m),pz (m),vx (m/s),vy (m/s),vz (m/s)
Wednesday January 01 2025 05:28:47,156826941192.66956,742628915563.0598,-6607082561.311601,4264.525627934142,1573.9933218770052,458.77205033118577
Wednesday January 01 2025 05:29:30,156827125490.9619,742628984219.2552,-6607062717.426912,4267.462695255861,1604.4117161004078,459.8905693374598
Wednesday January 01 2025 05:30:13,156827309563.22595,742629054055.0192,-6607042863.20687,4270.340516562613,1634.7768734472404,461.0063598705729
Wednesday January 01 2025 05:30:56,156827493898.36255,742629125254.7393,-6607022945.753943,4273.166860762063,1665.169759795159,462.1223984441417
Wednesday January 01 2025 05:31:39,156827678735.98163,742629197917.4261,-6607002938.805113,4275.945194852258,1695.6301039826285,463.24014067612535
Wednesday January 01 2025 05:32:23,156827863365.2556,742629271765.3116,-6606982919.060064,4278.664837954439,1726.0410463911473,464.35529809207776
Wednesday January 01 2025 05:33:06,156828048216.17282,742629346969.2206,-6606962839.73234,4281.332251855202,1756.4737271250422,465.4704807944863
Wednesday January 01 2025 05:33:49,156828233331.3965,742629423550.2714,-6606942695.88775,4283.947964516184,1786.9354276922813,466.58595403919566
Wednesday January 01 2025 05:34:32,156828418381.2725,742629501372.9573,-6606922523.18,4286.507356738949,1817.3721927845006,467.6997422426882
Wednesday January 01 2025 05:35:15,156828603464.0104,742629580477.1304,-6606902310.750529,4289.011926870163,1847.8004923255382,468.8124497146157
Wednesday January 01 2025 05:35:59,156828788653.04028,742629660894.5497,-6606882050.376227,4291.462728807195,1878.2326942164789,469.92452923933473
Wednesday January 01 2025 05:36:42,156828974321.14087,742629742792.1113,-6606861700.936047,4293.864554171803,1908.7303042645337,471.03822611308607
Wednesday January 01 2025 05:37:25,156829159567.71637,742629825772.222,-6606841360.953289,4296.2058441187255,1939.145694604496,472.1481502967918
Wednesday January 01 2025 05:38:08,156829345077.8479,742629910139.2627,-6606820955.085971,4298.49544203534,1969.5916723359396,473.25842064694916
Wednesday January 01 2025 05:38:51,156829530935.6413,742629995936.9432,-6606800473.730598,4300.734225661005,2000.0822857022315,474.3695469145496
Wednesday January 01 2025 05:39:35,156829716778.56583,742630083000.5703,-6606779956.566938,4302.917789191267,2030.5583334673029,475.47937087449884
Wednesday January 01 2025 05:40:18,156829902979.28503,742630171507.5558,-6606759362.176407,4305.050465526585,2061.081200758514,476.59012701585476
Wednesday January 01 2025 05:41:01,156830089006.3833,742630261206.5565,-6606738749.105483,4307.126190130294,2091.5640627016915,477.69865572945895
Wednesday January 01 2025 05:41:44,156830275235.59637,742630352278.4608,-6606718075.536018,4309.149244086039,2122.0687895408405,478.80720793703296
Wednesday January 01 2025 05:42:27,156830461280.45322,742630444533.9379,-6606697384.188867,4311.115519442836,2152.5323770576556,479.9134950488657
Wednesday January 01 2025 05:43:10,156830647198.13873,742630537997.6908,-6606676668.622756,4313.025853371544,2182.9645166380915,481.0178720249904
Wednesday January 01 2025 05:43:54,156830833545.31146,742630632952.2664,-6606655866.5400715,4314.885925166184,2213.4565995780918,482.12365461927396
Wednesday January 01 2025 05:44:37,156831019559.12863,742630729009.602,-6606635062.887385,4316.68816790177,2243.884091734978,483.22632708042806
